August_4,July,March_4,June_3,April_3,March,November_6,May_4,July_8,July_13,April,June_5,July_12,June_2,July_2,March_2,March_5,November_3,August_3,April_5,August_7,July_7,April_6,January_2,November_5,August_8,July_10,October_3,May_3,September,August_5,May_6,November_10,June_6,May_5,November_7,August_2,April_4,November_9,August,November_4,March_3,June_4,April_2,July_11,February_2,May,July_5,November_2,July_9,October,November,July_6,February,August_6,January,July_4,June,October_4,July_3,October_2,November_8,May_2,April_7,August_9
2.650954637864981,2.5524633022644845,3.1096097744288422,3.166249275971575,2.916663334892716,1.6692809101170796,2.5864959956833453,2.6029514620641274,2.311247784759154,3.6094801606525904,2.165498904433739,2.4165454443708643,3.020354379020185,2.8073785605478685,2.378240002233781,3.2785928210986253,3.2502476270870395,2.7353344989755213,2.768242425433605,2.3373373366197066,2.3251542893414925,2.076705931073013,2.576843348766139,3.0678006023928632,2.8081641710490275,2.744016521419841,2.3931393833305084,2.4159627766321425,3.0076511088310802,2.660332732815789,2.908985262322687,2.6680958701984867,2.475289139579422,3.2922962741638604,2.7950271745052957,2.2781511263179373,2.633553193564041,2.8988649167348415,2.4054373969045963,2.6295194234408803,2.870698135443206,2.5298831938470685,3.312093265115732,2.6149627737161727,1.9670654952163842,2.790861013888834,2.4609046215084356,2.308049872753643,2.406649660293168,2.7103196674250145,3.2003557660030375,2.4436487090524834,3.0789360862854087,2.4584494322379205,2.2211405609518944,2.3030330134930463,2.5554067058582106,2.77557686880109,2.0177548545672197,2.6671610237264876,2.42180550478363,2.6672167905673385,2.393628769366117,2.1763311247295074,2.742514345077867
2.650954637864981,2.5524633022644845,2.608186940952197,3.166249275971575,2.8439248031579525,2.1377236084984474,2.5864959956833453,2.6333191185768348,2.311247784759154,3.6094801606525904,2.2894772617789725,2.4165454443708643,3.020354379020185,2.8073785605478685,2.378240002233781,3.009358231855382,2.8077019250224886,2.7353344989755213,2.768242425433605,2.2332549712097185,2.3251542893414925,2.076705931073013,2.463965471830758,3.096515136584175,2.8081641710490275,2.744016521419841,2.3931393833305084,2.4159627766321425,3.0309287942012504,2.660332732815789,2.908985262322687,3.1187760684657917,2.475289139579422,3.2922962741638604,2.6689454819388767,2.2781511263179373,2.633553193564041,2.7132337805222186,2.4054373969045963,2.6295194234408803,2.870698135443206,2.8776423072886925,3.312093265115732,2.9601437864041813,1.9670654952163842,2.7780625385125233,2.512203726818199,2.308049872753643,2.406649660293168,2.7103196674250145,3.2003557660030375,2.4436487090524834,3.0789360862854087,2.365216092299445,2.2211405609518944,2.269234913574162,2.5554067058582106,2.77557686880109,2.0177548545672197,2.6671610237264876,2.42180550478363,2.6672167905673385,2.1183969562173184,2.4170560043837535,2.742514345077867
2.6534453606640827,2.2054925605744446,2.9087706324745417,3.0115513246329484,3.284522939731363,1.9099730439847933,2.3655329117324317,2.4529082474563153,2.400160799848624,2.9982288481482176,2.4369511067784093,2.1643694111530696,2.8949611424968626,3.047705445257811,2.234930406128532,3.0593244399437407,2.8768576516611306,2.4391929567752544,2.8653541217950287,2.410960067396549,2.2379303863072084,2.292623109563664,2.637391013315303,2.9994270379089047,3.0080078618933572,2.449446436439904,2.1549896661347745,2.52012145250466,2.921058937206648,2.3848652387593616,3.2058422024859916,2.546127134319071,2.3336564300079172,3.246810269019021,2.7390670272284976,2.3490838278757877,2.8153382892219416,2.689711436508684,2.0487188645809686,2.861034676385884,2.9870610631169736,2.680350072816342,3.138220789338238,2.7506915019222027,2.2730861539359233,2.7547866619669916,2.206781533566146,2.5269962824081373,2.2071398290931192,2.548031298933475,2.869973078372851,2.215448252085413,3.140206660976722,2.3505386613194137,2.5851157484228713,2.10708847146743,2.6216532847825333,2.272378588463473,2.2416482016506563,2.677351245306163,2.656036424968954,2.5962538683737657,2.389597283588467,2.301423784451016,2.612092256997976
2.7448573800590492,2.1794902525091007,2.522528224594471,3.0441314344612262,2.8335150253483823,1.9556918829790242,2.620194482457347,2.658144864625724,2.4029132454700095,3.2803639556568096,2.2326053022812236,2.43308909232922,3.222430445602168,3.2266692383052242,2.25720906986743,2.76581940889987,2.9107285760387,3.0489695989267056,2.8602351527022,2.3193068802311423,2.4371327993939755,2.3068449725755524,2.3986993728274584,3.122186167187703,3.046035523837201,2.671363926793748,2.239139845728543,2.620660959977229,3.0372848179111047,2.5690834057872887,3.2832144573098345,2.8913760615483355,2.576603535495487,3.214846489696921,2.767318469850813,2.395810881642963,2.5708718200628753,2.7943868293080487,2.5785787422394337,2.732801897210134,2.915287840630473,2.435292100667211,3.0996496622079333,2.8626972605909913,2.3367780413366406,3.0611840636595753,2.518702519149042,2.2922985468693406,2.6685483786688002,2.5207072317889616,2.5945969645450315,2.755719816789001,2.8778187530310593,2.3849888764339227,2.5826902897308424,1.868556475264194,2.6830905627394257,2.669801783523023,2.227463219411521,2.8702581518392987,2.6428382480036303,2.5741390790727037,2.310322703507659,2.039433071757196,2.615818596589733
2.489657391935737,2.5872023106263056,2.796447663433259,3.042462348028186,2.8452453981364387,1.6090873534835686,2.241811411322312,2.3915829173428156,2.86102394012453,3.5911976763819413,2.1918486828907935,2.286398468502135,2.9777623988159667,2.9969368016407336,2.523768275037873,3.1044400384682342,2.808517011598978,3.02605675753947,2.8793423811186023,2.5906555238132336,2.2352481635206956,2.254570238537426,2.4365588550343587,2.936474664238742,2.9504449085726265,2.6687338970472227,2.2977279176871224,2.419470740390269,2.86152930854628,2.6314533004243517,3.2324369807260394,2.803486181391183,2.562341355091622,3.0271293073399375,2.752580696160172,2.4093731354631895,2.667912774324067,2.8750234335679195,2.591453001776885,3.037517781249474,3.140527145126274,2.3665663446443923,3.2448324775483717,2.8315952742798234,2.5018060267089965,2.7190228363358955,2.341678921004273,2.69523664158693,2.53852817837911,2.752857423778758,2.9117661766814247,2.3288133306467635,2.789016916868357,2.3279861718548625,2.4383102019308995,1.9140462484973768,3.006349007165169,2.5819131788396623,2.113240780216136,3.0775072396273933,2.711774887251454,2.770417775554957,2.2550657505484044,2.5291831481198717,2.5759282793919596
2.4296113412941813,3.0320660339911707,2.814778202022107,2.6609319283154047,3.1255690788338075,2.12824181444302,2.205657622366087,2.8674905543579574,2.5612865572189825,3.5648902200255383,1.8801128015957236,2.3464166359998466,3.2000162402395103,2.9550747015285475,2.4968667963905866,3.264441038263598,3.1754020335730555,2.545345489915815,2.8552890703206546,2.3820487444580336,2.323149532371676,2.372106649514487,2.590494542209347,2.914848341462,2.8986610557600936,2.5879523010296976,2.4101179435486255,2.181581792064632,3.0074347605747285,2.889575469268618,3.0516921715509535,2.6835066239416117,2.191317178521962,3.047931208944703,2.5398308850616687,2.4954168454799306,2.4919561766232037,2.690600417996102,2.1979967357994292,3.0351183207792727,2.936066786993118,2.767853439787607,3.038070545079327,2.8880388380897246,2.21952308611124,2.851090217363603,2.786343377237468,2.9926562625557787,2.393093521843883,2.9336840555883494,3.0107334666643353,2.403571439328501,3.049918755413479,2.5069111175084275,2.252226667758553,2.0425656935769294,2.837805854382372,2.25511796300682,2.088408841411392,2.951655238403262,2.1857129789223677,2.7569522953962378,2.40991116630595,2.400374805061846,2.81695994732801
2.770037190704249,2.6048381407568386,2.702318546996427,2.8381767361668437,3.3125408602623434,2.0861794862466603,2.4236651756083996,2.6946540928098344,2.4026567796067804,3.3338446467660168,2.662896610550594,2.3312645108266836,3.043198777848283,2.9517987781908723,2.340268083158003,3.0416511874278265,2.9884820883933996,2.9754110245067085,2.6552184308607405,2.3973149231049455,2.2279630468923157,2.239915349074035,2.63670934321684,2.984775072766406,3.1291135157136027,2.461246269238693,2.541822923258367,2.6358681686184715,2.715205630269199,2.599501146629174,3.0496641781978053,3.0398391389259243,2.512523176680127,3.112088060899491,2.560825709663587,2.6738574249210387,2.7676954866044223,2.975357788354873,2.1950507371677066,3.215073333670036,2.9962751796914904,2.7196189401178623,3.099464656788205,2.992328374415269,2.2227536705783306,3.0804690750847725,2.628318885986251,2.447019412032498,2.5392941889628897,2.5888371722934065,2.950349564564815,2.3189175338429724,2.8764825780748264,2.8556231440446327,2.5634712915858056,2.1823430744305967,2.7603202706149763,2.512826201597587,2.601726192436329,2.520791054162499,2.5302762645967007,2.8024433271818032,2.4858468284206663,2.4857870685620678,2.7128553143996332
3.0637571338651672,3.0685033661472016,2.704377391398606,2.748772294702414,2.8819926044948465,1.975986028749409,2.3731355634550546,2.875048036439497,3.063963010112517,3.287053293660803,2.3470229082891345,2.693610229550379,3.289351340217248,2.9116150147650903,2.5061603952067038,2.746182826927366,2.6783899124957755,3.079930549158673,2.9775310248861926,2.418750352782965,2.537686261954622,2.265560663620725,2.618704369363705,3.1574650524355845,3.134729152934539,2.6624779423260314,2.8786102284556403,2.2837470460682012,2.851353022855861,2.7096027599826047,2.644970393165555,2.7672164117101383,2.161436105307487,3.372764168797287,2.508425050704786,2.470409378110272,2.6303444720349107,2.932727329150305,2.072281863654436,3.4386254995233605,2.8459436440033286,2.458690587398255,3.109716061489123,2.9601686436028447,2.3802286679962257,3.252486769706176,2.2464008538197042,2.467482353560602,2.5044191918316,2.8061400767463835,3.0348300930677503,2.5895846330338657,3.019997652868797,2.6052657016625096,2.753930101521476,2.068525306509118,3.168028616726117,2.416806285812537,2.1864020085501146,2.938685773061544,2.315732977668177,2.7045214060435865,2.280638027017475,2.586857119979079,3.1901873568946715
2.2450137489804147,2.2453692150473388,2.8333618729985877,2.9807110849137852,2.9776933812420547,2.089845268335269,2.160848097570648,2.74216679164835,2.553548663900338,3.0230033663976843,2.6558350477193047,2.4525232334743685,3.0054091619501353,2.864815234340825,2.3674994928388595,2.843201128776552,3.223547433393317,2.4415232028782587,2.7568974513229056,2.405214581847515,2.3533565575916153,2.2767311685550577,2.697732234170714,3.069792855056937,3.0115950118539616,2.326542705110613,2.4081222863489278,2.3899115443926124,3.1631562391599584,2.48416450391925,2.8756405883526206,3.187971354994659,2.3967752259121538,3.252298986987631,2.984851436106008,2.4543772116874805,2.758546946491986,2.8063992496963026,2.435612059180797,2.8561451262104156,2.7620069964313534,2.7310397152147647,3.0726159970107774,2.6003298989235404,1.9590041866120187,2.7633768658653706,2.9217927818482785,2.5824629733859106,2.8159088100010874,2.8572622334451334,2.945260082648729,2.6368064090972188,2.963868298477373,2.4913952220718216,2.630112287632331,2.2716672335182797,3.0713390445331896,2.5061516005023674,2.2371975607928776,2.7234703034921064,2.5719875771064826,2.695671505604168,2.448216302777758,2.131183442827918,2.508858644268676
2.5935843964964906,2.5309549180167488,2.943441368876627,3.116871776574547,3.0724744477365453,2.059265613821322,2.407991511586257,2.6101605239428745,2.6588814689588314,3.623794725413059,1.8142740610839707,2.7273331210547576,3.0447686872315503,3.275425643829627,2.3946753487576786,2.9325338155385414,3.3076560551441627,2.5502966449932662,2.828621484319476,2.5601841924788884,2.396690979561482,2.4305896803008027,2.65010549633781,3.1508625687416614,3.0966576480477768,2.93860595308896,2.4560059538105965,2.544850353555585,2.6967546862749447,2.6817878279415663,3.060798957469446,2.8911091193382377,2.393560190293341,3.176227201844207,2.948810831997285,2.240256806527895,3.071575021223652,2.762140732300941,2.176471420609878,3.404198907227486,2.7979825491970467,2.79798719573247,3.2173138758342987,2.9924247699119326,2.278558127042482,3.0341919842275034,2.6617669019122707,2.6643079341919442,2.664612006314469,2.6193739852548337,2.7358174614953024,2.6789656689580177,3.1891480157144874,2.5877322647075065,2.590235199283375,2.239887770565071,3.0330894414769887,2.7937914228553464,2.3132578188376867,2.9142656183463616,2.5553720553256274,2.9521053445888454,2.3738855309749316,3.0423772324245353,2.3891700744345576
