August_5,July,March_4,March,April_3,June_2,May_4,June,July_14,July_9,July_13,July_7,June_4,November_2,March_2,March_5,April,July_11,July_2,July_8,April_5,August_8,May_3,January_3,April_7,August_4,November_4,June_5,August_2,November_7,August_6,November_8,August_3,November_5,November_3,April_4,September,April_6,March_6,March_3,May_5,February_2,April_2,June_3,July_5,July_12,January_2,July_10,November_9,November,January,August,October,July_3,July_6,July_4,May_2,May,November_6,August_9,October_3,August_7,October_2,April_8,February
2.650954637864981,2.5524633022644845,3.1096097744288422,1.6692809101170796,2.916663334892716,3.166249275971575,2.6029514620641274,2.8073785605478685,3.6094801606525904,2.311247784759154,3.020354379020185,2.575616035756051,2.4165454443708643,2.7353344989755213,3.2785928210986253,3.2502476270870395,2.165498904433739,2.3931393833305084,2.378240002233781,2.076705931073013,2.3373373366197066,2.3251542893414925,3.0076511088310802,3.0678006023928632,2.576843348766139,2.768242425433605,2.8081641710490275,2.7007993322796593,2.6295194234408803,2.6949552723547883,2.908985262322687,2.4054373969045963,2.633553193564041,2.2781511263179373,2.870698135443206,2.8988649167348415,2.660332732815789,2.897916013912265,3.2657200512329703,2.5298831938470685,2.7950271745052957,2.790861013888834,2.6149627737161727,3.312093265115732,2.308049872753643,1.9670654952163842,2.3030330134930463,2.7103196674250145,2.475289139579422,2.4436487090524834,2.482412507533389,2.5761135794244368,3.2003557660030375,2.6671610237264876,3.0789360862854087,2.5554067058582106,2.393628769366117,2.4609046215084356,2.6672167905673385,2.742514345077867,2.0177548545672197,2.2211405609518944,2.42180550478363,2.1763311247295074,2.4584494322379205
2.650954637864981,2.5524633022644845,2.608186940952197,2.1377236084984474,2.8439248031579525,3.166249275971575,2.6333191185768348,2.8073785605478685,3.6094801606525904,2.311247784759154,3.020354379020185,2.575616035756051,2.4165454443708643,2.7353344989755213,3.009358231855382,2.8077019250224886,2.2894772617789725,2.3931393833305084,2.378240002233781,2.076705931073013,2.2332549712097185,2.3251542893414925,3.0309287942012504,3.096515136584175,2.463965471830758,2.768242425433605,2.8081641710490275,2.7007993322796593,2.6295194234408803,2.6949552723547883,2.908985262322687,2.4054373969045963,2.633553193564041,2.2781511263179373,2.870698135443206,2.7132337805222186,2.660332732815789,2.9774352010007004,3.2760329383917175,2.8776423072886925,2.6689454819388767,2.7780625385125233,2.9601437864041813,3.312093265115732,2.308049872753643,1.9670654952163842,2.269234913574162,2.7103196674250145,2.475289139579422,2.4436487090524834,2.4245875743535854,2.5761135794244368,3.2003557660030375,2.6671610237264876,3.0789360862854087,2.5554067058582106,2.1183969562173184,2.512203726818199,2.6672167905673385,2.742514345077867,2.0177548545672197,2.2211405609518944,2.42180550478363,2.4170560043837535,2.365216092299445
2.6534453606640827,2.2054925605744446,2.9087706324745417,1.9099730439847933,3.284522939731363,3.0115513246329484,2.4529082474563153,3.047705445257811,2.9982288481482176,2.400160799848624,2.8949611424968626,2.729845613099908,2.1643694111530696,2.4391929567752544,3.0593244399437407,2.8768576516611306,2.4369511067784093,2.1549896661347745,2.234930406128532,2.292623109563664,2.410960067396549,2.2379303863072084,2.921058937206648,2.9994270379089047,2.637391013315303,2.8653541217950287,3.0080078618933572,2.445189534488252,2.861034676385884,2.6359550024811633,3.2058422024859916,2.0487188645809686,2.8153382892219416,2.3490838278757877,2.9870610631169736,2.689711436508684,2.3848652387593616,2.6898937904650797,3.1603019243958705,2.680350072816342,2.7390670272284976,2.7547866619669916,2.7506915019222027,3.138220789338238,2.5269962824081373,2.2730861539359233,2.10708847146743,2.548031298933475,2.3336564300079172,2.215448252085413,2.4735792950566333,2.676923072674375,2.869973078372851,2.677351245306163,3.140206660976722,2.6216532847825333,2.389597283588467,2.206781533566146,2.5962538683737657,2.612092256997976,2.2416482016506563,2.5851157484228713,2.656036424968954,2.301423784451016,2.3505386613194137
2.7448573800590492,2.1794902525091007,2.522528224594471,1.9556918829790242,2.8335150253483823,3.0441314344612262,2.658144864625724,3.2266692383052242,3.2803639556568096,2.4029132454700095,3.222430445602168,2.4440275931061,2.43308909232922,3.0489695989267056,2.76581940889987,2.9107285760387,2.2326053022812236,2.239139845728543,2.25720906986743,2.3068449725755524,2.3193068802311423,2.4371327993939755,3.0372848179111047,3.122186167187703,2.3986993728274584,2.8602351527022,3.046035523837201,2.465858431630002,2.732801897210134,2.7510784620837923,3.2832144573098345,2.5785787422394337,2.5708718200628753,2.395810881642963,2.915287840630473,2.7943868293080487,2.5690834057872887,2.574617297017549,3.0492558178261415,2.435292100667211,2.767318469850813,3.0611840636595753,2.8626972605909913,3.0996496622079333,2.2922985468693406,2.3367780413366406,1.868556475264194,2.5207072317889616,2.576603535495487,2.755719816789001,2.4377735739479216,2.551179887404766,2.5945969645450315,2.8702581518392987,2.8778187530310593,2.6830905627394257,2.310322703507659,2.518702519149042,2.5741390790727037,2.615818596589733,2.227463219411521,2.5826902897308424,2.6428382480036303,2.039433071757196,2.3849888764339227
2.489657391935737,2.5872023106263056,2.796447663433259,1.6090873534835686,2.8452453981364387,3.042462348028186,2.3915829173428156,2.9969368016407336,3.5911976763819413,2.86102394012453,2.9777623988159667,2.5295764894913164,2.286398468502135,3.02605675753947,3.1044400384682342,2.808517011598978,2.1918486828907935,2.2977279176871224,2.523768275037873,2.254570238537426,2.5906555238132336,2.2352481635206956,2.86152930854628,2.936474664238742,2.4365588550343587,2.8793423811186023,2.9504449085726265,2.3949423170634856,3.037517781249474,2.884707137692269,3.2324369807260394,2.591453001776885,2.667912774324067,2.4093731354631895,3.140527145126274,2.8750234335679195,2.6314533004243517,3.1697498982984733,3.030934390987642,2.3665663446443923,2.752580696160172,2.7190228363358955,2.8315952742798234,3.2448324775483717,2.69523664158693,2.5018060267089965,1.9140462484973768,2.752857423778758,2.562341355091622,2.3288133306467635,2.5344827794667566,2.3049328332304726,2.9117661766814247,3.0775072396273933,2.789016916868357,3.006349007165169,2.2550657505484044,2.341678921004273,2.770417775554957,2.5759282793919596,2.113240780216136,2.4383102019308995,2.711774887251454,2.5291831481198717,2.3279861718548625
2.4296113412941813,3.0320660339911707,2.814778202022107,2.12824181444302,3.1255690788338075,2.6609319283154047,2.8674905543579574,2.9550747015285475,3.5648902200255383,2.5612865572189825,3.2000162402395103,2.5239918076955994,2.3464166359998466,2.545345489915815,3.264441038263598,3.1754020335730555,1.8801128015957236,2.4101179435486255,2.4968667963905866,2.372106649514487,2.3820487444580336,2.323149532371676,3.0074347605747285,2.914848341462,2.590494542209347,2.8552890703206546,2.8986610557600936,2.2266135717921514,3.0351183207792727,2.6394567463187553,3.0516921715509535,2.1979967357994292,2.4919561766232037,2.4954168454799306,2.936066786993118,2.690600417996102,2.889575469268618,2.7029689219594895,3.1868365091083466,2.767853439787607,2.5398308850616687,2.851090217363603,2.8880388380897246,3.038070545079327,2.9926562625557787,2.21952308611124,2.0425656935769294,2.9336840555883494,2.191317178521962,2.403571439328501,2.430606610352912,2.6016598511839835,3.0107334666643353,2.951655238403262,3.049918755413479,2.837805854382372,2.40991116630595,2.786343377237468,2.7569522953962378,2.81695994732801,2.088408841411392,2.252226667758553,2.1857129789223677,2.400374805061846,2.5069111175084275
2.770037190704249,2.6048381407568386,2.702318546996427,2.0861794862466603,3.3125408602623434,2.8381767361668437,2.6946540928098344,2.9517987781908723,3.3338446467660168,2.4026567796067804,3.043198777848283,2.5592837628387883,2.3312645108266836,2.9754110245067085,3.0416511874278265,2.9884820883933996,2.662896610550594,2.541822923258367,2.340268083158003,2.239915349074035,2.3973149231049455,2.2279630468923157,2.715205630269199,2.984775072766406,2.63670934321684,2.6552184308607405,3.1291135157136027,2.7724630632494143,3.215073333670036,2.6949714855162235,3.0496641781978053,2.1950507371677066,2.7676954866044223,2.6738574249210387,2.9962751796914904,2.975357788354873,2.599501146629174,2.999754444887452,3.3952213216686373,2.7196189401178623,2.560825709663587,3.0804690750847725,2.992328374415269,3.099464656788205,2.447019412032498,2.2227536705783306,2.1823430744305967,2.5888371722934065,2.512523176680127,2.3189175338429724,2.3540185249518633,2.691038724654239,2.950349564564815,2.520791054162499,2.8764825780748264,2.7603202706149763,2.4858468284206663,2.628318885986251,2.8024433271818032,2.7128553143996332,2.601726192436329,2.5634712915858056,2.5302762645967007,2.4857870685620678,2.8556231440446327
3.0637571338651672,3.0685033661472016,2.704377391398606,1.975986028749409,2.8819926044948465,2.748772294702414,2.875048036439497,2.9116150147650903,3.287053293660803,3.063963010112517,3.289351340217248,2.932449954397884,2.693610229550379,3.079930549158673,2.746182826927366,2.6783899124957755,2.3470229082891345,2.8786102284556403,2.5061603952067038,2.265560663620725,2.418750352782965,2.537686261954622,2.851353022855861,3.1574650524355845,2.618704369363705,2.9775310248861926,3.134729152934539,2.458242082861919,3.4386254995233605,2.605240816520885,2.644970393165555,2.072281863654436,2.6303444720349107,2.470409378110272,2.8459436440033286,2.932727329150305,2.7096027599826047,2.9212709728598587,3.1193805273930844,2.458690587398255,2.508425050704786,3.252486769706176,2.9601686436028447,3.109716061489123,2.467482353560602,2.3802286679962257,2.068525306509118,2.8061400767463835,2.161436105307487,2.5895846330338657,2.5875056838755985,3.0606568449586637,3.0348300930677503,2.938685773061544,3.019997652868797,3.168028616726117,2.280638027017475,2.2464008538197042,2.7045214060435865,3.1901873568946715,2.1864020085501146,2.753930101521476,2.315732977668177,2.586857119979079,2.6052657016625096
2.2450137489804147,2.2453692150473388,2.8333618729985877,2.089845268335269,2.9776933812420547,2.9807110849137852,2.74216679164835,2.864815234340825,3.0230033663976843,2.553548663900338,3.0054091619501353,2.465885921534914,2.4525232334743685,2.4415232028782587,2.843201128776552,3.223547433393317,2.6558350477193047,2.4081222863489278,2.3674994928388595,2.2767311685550577,2.405214581847515,2.3533565575916153,3.1631562391599584,3.069792855056937,2.697732234170714,2.7568974513229056,3.0115950118539616,2.724442583430035,2.8561451262104156,2.677240594175583,2.8756405883526206,2.435612059180797,2.758546946491986,2.4543772116874805,2.7620069964313534,2.8063992496963026,2.48416450391925,2.6753889738055556,3.282114920983698,2.7310397152147647,2.984851436106008,2.7633768658653706,2.6003298989235404,3.0726159970107774,2.5824629733859106,1.9590041866120187,2.2716672335182797,2.8572622334451334,2.3967752259121538,2.6368064090972188,2.59520532183544,2.3665649913589735,2.945260082648729,2.7234703034921064,2.963868298477373,3.0713390445331896,2.448216302777758,2.9217927818482785,2.695671505604168,2.508858644268676,2.2371975607928776,2.630112287632331,2.5719875771064826,2.131183442827918,2.4913952220718216
2.5935843964964906,2.5309549180167488,2.943441368876627,2.059265613821322,3.0724744477365453,3.116871776574547,2.6101605239428745,3.275425643829627,3.623794725413059,2.6588814689588314,3.0447686872315503,2.7074562230492023,2.7273331210547576,2.5502966449932662,2.9325338155385414,3.3076560551441627,1.8142740610839707,2.4560059538105965,2.3946753487576786,2.4305896803008027,2.5601841924788884,2.396690979561482,2.6967546862749447,3.1508625687416614,2.65010549633781,2.828621484319476,3.0966576480477768,2.9895908634424533,3.404198907227486,2.584472931132216,3.060798957469446,2.176471420609878,3.071575021223652,2.240256806527895,2.7979825491970467,2.762140732300941,2.6817878279415663,3.370178382293043,3.0494350208027585,2.79798719573247,2.948810831997285,3.0341919842275034,2.9924247699119326,3.2173138758342987,2.6643079341919442,2.278558127042482,2.239887770565071,2.6193739852548337,2.393560190293341,2.6789656689580177,2.392382636123502,2.501316201732602,2.7358174614953024,2.9142656183463616,3.1891480157144874,3.0330894414769887,2.3738855309749316,2.6617669019122707,2.9521053445888454,2.3891700744345576,2.3132578188376867,2.590235199283375,2.5553720553256274,3.0423772324245353,2.5877322647075065
