August_5,March_6,July_7,April_5,April_3,March_5,August_9,July_2,May_4,November_3,March,July_12,July,July_8,July_9,March_7,June_5,June_2,October,August_2,June,July_3,May_3,October_3,July_14,August_3,November_6,June_6,July_13,July_10,November_7,March_2,August_6,August_4,November_5,August_10,July_6,April_4,July_11,January_2,August,November,June_3,February,November_4,November_8,July_5,August_7,July_15,June_4,August_8,December,March_3,April,November_2,October_2,July_4,May_5,May,January,March_4,December_2,March_8,April_2,May_2
2.650954637864981,3.1096097744288422,2.575616035756051,2.576843348766139,2.3373373366197066,3.085492159955112,2.744016521419841,2.5524633022644845,2.6029514620641274,2.7353344989755213,1.6692809101170796,3.020354379020185,1.9924754221796246,2.076705931073013,2.311247784759154,3.2502476270870395,2.4165454443708643,2.6550811256060665,2.998170393229248,2.6295194234408803,2.8073785605478685,2.378240002233781,3.0076511088310802,2.4159627766321425,3.6094801606525904,2.633553193564041,2.2781511263179373,3.2922962741638604,2.6737761590942055,2.3931393833305084,2.4054373969045963,3.2785928210986253,2.9163423536399806,2.768242425433605,2.8081641710490275,2.742514345077867,2.308049872753643,2.897916013912265,1.9670654952163842,3.0678006023928632,2.5761135794244368,2.477411923072111,3.312093265115732,2.470942666304146,3.184519732080522,2.9073232153263815,2.5554067058582106,2.3251542893414925,2.4895838918370843,2.6153718526087832,2.552861183461589,2.3878900105838556,2.5298831938470685,2.6149627737161727,2.4436487090524834,2.42180550478363,2.6671610237264876,2.7950271745052957,2.393628769366117,2.3030330134930463,2.193656610543641,2.503489390123306,2.0378871180456484,2.7909490822997,2.577056221407737
2.650954637864981,2.608186940952197,2.575616035756051,2.463965471830758,2.2332549712097185,3.280035988046,2.744016521419841,2.5524633022644845,2.6333191185768348,2.7353344989755213,2.1377236084984474,3.020354379020185,1.9924754221796246,2.076705931073013,2.311247784759154,2.8077019250224886,2.4165454443708643,2.6550811256060665,2.998170393229248,2.6295194234408803,2.8073785605478685,2.378240002233781,3.0309287942012504,2.4159627766321425,3.6094801606525904,2.633553193564041,2.2781511263179373,3.2922962741638604,2.6737761590942055,2.3931393833305084,2.4054373969045963,3.009358231855382,2.9163423536399806,2.768242425433605,2.8081641710490275,2.742514345077867,2.308049872753643,2.9774352010007004,1.9670654952163842,3.096515136584175,2.5761135794244368,2.477411923072111,3.312093265115732,2.906431671053217,3.184519732080522,2.9073232153263815,2.5554067058582106,2.3251542893414925,2.4895838918370843,2.6153718526087832,2.552861183461589,2.3878900105838556,2.8776423072886925,2.9601437864041813,2.4436487090524834,2.42180550478363,2.6671610237264876,2.6689454819388767,2.1183969562173184,2.269234913574162,2.45817086080495,2.503489390123306,2.2809507726148994,2.7420390042437957,2.56250888375291
2.6534453606640827,2.9087706324745417,2.729845613099908,2.637391013315303,2.410960067396549,2.942773857826546,2.449446436439904,2.2054925605744446,2.4529082474563153,2.4391929567752544,1.9099730439847933,2.8949611424968626,2.2347446498235763,2.292623109563664,2.400160799848624,2.8768576516611306,2.1643694111530696,2.9374938243751982,2.9360154430880403,2.861034676385884,3.047705445257811,2.234930406128532,2.921058937206648,2.52012145250466,2.9982288481482176,2.8153382892219416,2.3490838278757877,3.246810269019021,2.508937408792021,2.1549896661347745,2.0487188645809686,3.0593244399437407,2.9660676265439894,2.8653541217950287,3.0080078618933572,2.612092256997976,2.5269962824081373,2.6898937904650797,2.2730861539359233,2.9994270379089047,2.676923072674375,2.5851513821748946,3.138220789338238,2.4015437458515407,2.563380310266749,2.3549538588252603,2.6216532847825333,2.2379303863072084,2.2356964443885525,2.843415278888747,2.728053110669579,2.776062611768668,2.680350072816342,2.7506915019222027,2.215448252085413,2.656036424968954,2.677351245306163,2.7390670272284976,2.389597283588467,2.10708847146743,2.0568118244949467,2.506040734079238,2.2244268914369516,2.5604079688349284,2.32490868543485
2.7448573800590492,2.522528224594471,2.4440275931061,2.3986993728274584,2.3193068802311423,2.9424769441652416,2.671363926793748,2.1794902525091007,2.658144864625724,3.0489695989267056,1.9556918829790242,3.222430445602168,2.392396259990674,2.3068449725755524,2.4029132454700095,2.9107285760387,2.43308909232922,2.983108252733093,2.8904675450208477,2.732801897210134,3.2266692383052242,2.25720906986743,3.0372848179111047,2.620660959977229,3.2803639556568096,2.5708718200628753,2.395810881642963,3.214846489696921,2.6429043042604325,2.239139845728543,2.5785787422394337,2.76581940889987,3.071471662788127,2.8602351527022,3.046035523837201,2.615818596589733,2.2922985468693406,2.574617297017549,2.3367780413366406,3.122186167187703,2.551179887404766,2.448677472077882,3.0996496622079333,2.559277836269601,2.628177367189234,2.528944882911847,2.6830905627394257,2.4371327993939755,2.601226777679146,2.675926235140852,2.7908641207485805,2.731922177162454,2.435292100667211,2.8626972605909913,2.755719816789001,2.6428382480036303,2.8702581518392987,2.767318469850813,2.310322703507659,1.868556475264194,2.5592685583796815,2.981514898006961,2.499293294335378,2.4608012892594506,2.519875372315123
2.489657391935737,2.796447663433259,2.5295764894913164,2.4365588550343587,2.5906555238132336,2.94222431223831,2.6687338970472227,2.5872023106263056,2.3915829173428156,3.02605675753947,1.6090873534835686,2.9777623988159667,2.516701299662572,2.254570238537426,2.86102394012453,2.808517011598978,2.286398468502135,3.1909137390488893,2.9716525235835456,3.037517781249474,2.9969368016407336,2.523768275037873,2.86152930854628,2.419470740390269,3.5911976763819413,2.667912774324067,2.4093731354631895,3.0271293073399375,2.739468673815924,2.2977279176871224,2.591453001776885,3.1044400384682342,3.1027825152072905,2.8793423811186023,2.9504449085726265,2.5759282793919596,2.69523664158693,3.1697498982984733,2.5018060267089965,2.936474664238742,2.3049328332304726,2.570630954452439,3.2448324775483717,2.6784562049276923,2.5577203469483356,2.458373125892377,3.006349007165169,2.2352481635206956,2.34748457702515,2.5210018972328943,2.924549818452559,2.7659895011848517,2.3665663446443923,2.8315952742798234,2.3288133306467635,2.711774887251454,3.0775072396273933,2.752580696160172,2.2550657505484044,1.9140462484973768,2.3980844444575142,2.9009321260072802,2.1317004181659525,2.949885986227598,2.5211490325671417
2.4296113412941813,2.814778202022107,2.5239918076955994,2.590494542209347,2.3820487444580336,3.1744521164235664,2.5879523010296976,3.0320660339911707,2.8674905543579574,2.545345489915815,2.12824181444302,3.2000162402395103,2.12611152275901,2.372106649514487,2.5612865572189825,3.1754020335730555,2.3464166359998466,3.000866050036896,2.7081746344892696,3.0351183207792727,2.9550747015285475,2.4968667963905866,3.0074347605747285,2.181581792064632,3.5648902200255383,2.4919561766232037,2.4954168454799306,3.047931208944703,2.813381420175954,2.4101179435486255,2.1979967357994292,3.264441038263598,2.9059245338274655,2.8552890703206546,2.8986610557600936,2.81695994732801,2.9926562625557787,2.7029689219594895,2.21952308611124,2.914848341462,2.6016598511839835,2.2465039623704426,3.038070545079327,2.5486447284670635,2.6395824390100864,2.841795003502219,2.837805854382372,2.323149532371676,2.340835732254287,2.60249983605775,2.803376233973066,2.4133337276928297,2.767853439787607,2.8880388380897246,2.403571439328501,2.1857129789223677,2.951655238403262,2.5398308850616687,2.40991116630595,2.0425656935769294,2.021359625949902,2.5312983738411896,2.1820245471100668,2.731216143490282,2.5766631163233527
2.770037190704249,2.702318546996427,2.5592837628387883,2.63670934321684,2.3973149231049455,3.32332936230719,2.461246269238693,2.6048381407568386,2.6946540928098344,2.9754110245067085,2.0861794862466603,3.043198777848283,1.9834083071916702,2.239915349074035,2.4026567796067804,2.9884820883933996,2.3312645108266836,3.0035127263258046,3.0271530962135214,3.215073333670036,2.9517987781908723,2.340268083158003,2.715205630269199,2.6358681686184715,3.3338446467660168,2.7676954866044223,2.6738574249210387,3.112088060899491,2.7181537298434413,2.541822923258367,2.1950507371677066,3.0416511874278265,2.8814496505107807,2.6552184308607405,3.1291135157136027,2.7128553143996332,2.447019412032498,2.999754444887452,2.2227536705783306,2.984775072766406,2.691038724654239,2.501232286066618,3.099464656788205,2.715498948889969,2.804852298383515,2.4418450002154533,2.7603202706149763,2.2279630468923157,2.5162306731442405,2.6441178849140465,2.6473218656383,2.679502340901031,2.7196189401178623,2.992328374415269,2.3189175338429724,2.5302762645967007,2.520791054162499,2.560825709663587,2.4858468284206663,2.1823430744305967,2.4964122733868246,2.8682247410520043,2.230850790004018,2.889693518408251,2.5570874758697144
3.0637571338651672,2.704377391398606,2.932449954397884,2.618704369363705,2.418750352782965,3.0925992826498137,2.6624779423260314,3.0685033661472016,2.875048036439497,3.079930549158673,1.975986028749409,3.289351340217248,2.8475717954631183,2.265560663620725,3.063963010112517,2.6783899124957755,2.693610229550379,2.9874518445120177,3.026829437958335,3.4386254995233605,2.9116150147650903,2.5061603952067038,2.851353022855861,2.2837470460682012,3.287053293660803,2.6303444720349107,2.470409378110272,3.372764168797287,3.2213443187487787,2.8786102284556403,2.072281863654436,2.746182826927366,2.7648977404140087,2.9775310248861926,3.134729152934539,3.1901873568946715,2.467482353560602,2.9212709728598587,2.3802286679962257,3.1574650524355845,3.0606568449586637,2.581298874981068,3.109716061489123,2.9622210423815263,2.75572537798358,2.2463615802314045,3.168028616726117,2.537686261954622,2.327564208763066,2.655944895500311,2.891097003357658,2.2980244140428865,2.458690587398255,2.9601686436028447,2.5895846330338657,2.315732977668177,2.938685773061544,2.508425050704786,2.280638027017475,2.068525306509118,2.501108902986589,2.5608333369144773,2.0533806586514403,2.818166132743361,2.7245719028293167
2.2450137489804147,2.8333618729985877,2.465885921534914,2.697732234170714,2.405214581847515,3.2011692300033876,2.326542705110613,2.2453692150473388,2.74216679164835,2.4415232028782587,2.089845268335269,3.0054091619501353,1.9326514200639546,2.2767311685550577,2.553548663900338,3.223547433393317,2.4525232334743685,3.0096687509433524,2.976548643394074,2.8561451262104156,2.864815234340825,2.3674994928388595,3.1631562391599584,2.3899115443926124,3.0230033663976843,2.758546946491986,2.4543772116874805,3.252298986987631,2.916096239184638,2.4081222863489278,2.435612059180797,2.843201128776552,2.81708989265112,2.7568974513229056,3.0115950118539616,2.508858644268676,2.5824629733859106,2.6753889738055556,1.9590041866120187,3.069792855056937,2.3665649913589735,2.476392648805052,3.0726159970107774,2.5982771675533773,2.5374303930555446,2.4982679470973785,3.0713390445331896,2.3533565575916153,2.4597386616779375,2.4016232649857847,2.874690159079831,2.6912797061225473,2.7310397152147647,2.6003298989235404,2.6368064090972188,2.5719875771064826,2.7234703034921064,2.984851436106008,2.448216302777758,2.2716672335182797,2.1917322836328728,2.4930728405728564,2.4334948352016337,2.8577705986094837,2.6158175115126334
2.5935843964964906,2.943441368876627,2.7074562230492023,2.65010549633781,2.5601841924788884,3.3334160039261604,2.93860595308896,2.5309549180167488,2.6101605239428745,2.5502966449932662,2.059265613821322,3.0447686872315503,2.1763245652387266,2.4305896803008027,2.6588814689588314,3.3076560551441627,2.7273331210547576,3.170381434830067,2.8681316955781497,3.404198907227486,3.275425643829627,2.3946753487576786,2.6967546862749447,2.544850353555585,3.623794725413059,3.071575021223652,2.240256806527895,3.176227201844207,2.8078131181462394,2.4560059538105965,2.176471420609878,2.9325338155385414,3.180443273032816,2.828621484319476,3.0966576480477768,2.3891700744345576,2.6643079341919442,3.370178382293043,2.278558127042482,3.1508625687416614,2.501316201732602,2.5125785406467775,3.2173138758342987,2.7162236244399933,2.865968003912604,2.438518131139333,3.0330894414769887,2.396690979561482,2.5498176781880475,2.8815724316226046,2.7350907229750288,2.5851051025067027,2.79798719573247,2.9924247699119326,2.6789656689580177,2.5553720553256274,2.9142656183463616,2.948810831997285,2.3738855309749316,2.239887770565071,2.5948451500828713,2.7539699776580444,2.275057470307903,2.8659524411020247,2.984147391963168
