July_6,April_5,November_7,November,August_5,May_2,August_2,February_2,June_8,July,April_2,March_3,June_2,September_2,March_2,October,November_6,February_4,June_3,April_4,April,April_3,June_7,March_5,March,April_6,June_10,August_4,April_7,October_2,July_3,November_3,September_4,September_5,July_4,May,September_6,April_9,June_4,January,December_2,February_5,June_11,August_3,February_3,September_3,November_2,May_3,July_2,June,August,November_5,April_8,December_3,May_4,July_5,September,November_4,February,June_5,June_6,December,June_9,January_2,March_4
-0.6870682445295841,0.38635495803955466,0.05269802404532775,0.5419022822757099,0.08534460864458573,-0.3593947728884555,-0.16458628094418276,-0.07151760862572318,0.21452849495478077,0.5114398407863903,0.24989031756806357,0.24880814540086005,0.16490107844573565,0.06805904235920454,0.7980498516661579,-0.07148304145376774,-0.272763267171965,-0.3657050811308522,0.0915481543354523,0.08456076423099593,0.819613952356528,0.8631260535297816,0.3929147737610186,-0.15792741158009144,-0.48535351011954525,-0.3016856314249178,-0.4188762432571009,-0.3435498841482437,-0.07628357728050573,0.17587679717638588,0.0027399527614810973,-0.6610826285274498,-0.23047464389362174,-0.39198169218978685,-0.6147049979307769,-0.27769812265064336,0.21240110181648586,-0.1480390382254608,-0.3168309944262449,-0.40203758900290865,0.5150915854090093,0.04656625780261786,-0.035698368246012455,-0.18336375519360146,-0.27341864205506183,-0.41242466295125035,0.0504612055458549,-0.5668499318267723,-0.40933655315697326,-0.06524565630601425,0.09554007562458781,0.582851980767435,0.16577905701246665,-0.45276723532869156,0.321928550619273,0.15906362676555602,0.021618628430983944,-0.4123373739064272,-0.04996925696947245,0.09737079120307933,0.2360850241323399,-0.3927837220739996,0.11779668718022515,0.28126596066688225,-0.32344079070696563
-0.6870682445295841,0.2005146589405753,0.05269802404532775,0.5419022822757099,0.08534460864458573,-0.4103968441475474,-0.16458628094418276,-0.2700646639623666,0.21452849495478077,0.5114398407863903,0.11333583784524752,0.3322418302572908,0.16490107844573565,0.06805904235920454,0.5721111447676074,-0.07148304145376774,-0.272763267171965,0.02923596364906151,0.0915481543354523,0.7096116648001513,0.5642551615004623,0.6963027217323591,0.3929147737610186,-0.00981066100610057,-0.5224441462616023,-0.2345690219935268,-0.4188762432571009,-0.3435498841482437,-0.17702168097389526,0.17587679717638588,0.0027399527614810973,-0.6610826285274498,-0.23047464389362174,-0.39198169218978685,-0.6147049979307769,-0.09103433997189686,0.21240110181648586,-0.31757105359872,-0.3168309944262449,-0.8546623466108038,0.5150915854090093,-0.08748835998381753,-0.035698368246012455,-0.18336375519360146,-0.20284024432536596,-0.41242466295125035,0.0504612055458549,-0.9794149587065153,-0.40933655315697326,-0.06524565630601425,0.09554007562458781,0.582851980767435,0.5465064527155941,-0.45276723532869156,0.4750030235954751,0.15906362676555602,0.021618628430983944,-0.4123373739064272,-0.25418354044138847,0.09737079120307933,0.2360850241323399,-0.3927837220739996,0.11779668718022515,0.09371185322951076,-0.33374294485302786
-0.37916712005183734,0.018637565647565232,0.28473382073475095,0.607632672375219,0.06593685599605323,0.1724556646556812,-0.042085772474037664,-0.51564804747665,-0.028832610002356235,0.5925370994884253,0.11092901651204866,0.4995935687116489,0.755739157174849,0.02919636077562735,0.7289719859289208,-0.23009867578610857,-0.17659992614335618,-0.3655415489573885,0.09839836230349719,0.1857278893823966,0.2871857926000484,0.5386626714465814,0.5658348634925808,0.12219230497660281,-0.7666159292369306,-0.36537278102907333,-0.6316494301195327,-0.48228706249168607,0.06300475580851657,-0.013912221696954174,0.4223067096245432,-0.7184915233925354,-0.4294295350680219,-0.4507525631176311,-0.4133761599519044,-0.3212212000702994,0.31714576173504455,0.21261723570670427,-0.3667760299392038,-0.7059977831266347,0.20795746225412629,0.17110558918808252,-0.2981429066954183,-0.1676553807564039,-0.15631813858193164,0.045941279440828146,0.1370299571434588,-0.49176131764159214,-0.3034630130997211,0.0820677916446578,-0.3154925794311828,0.29812624384003034,0.18034348594299757,-0.5099472707267121,0.26479072296769696,0.28463787269415997,0.3873692065141246,-0.48825710680828815,0.14025780022848477,0.09270943061161978,0.3125408705825999,-0.08638337409224037,0.41045381491506755,0.2998654196793797,-0.21711024986317862
-0.15271721781746386,0.15184948034734996,0.2364671055392552,0.5241243246477524,0.08633653817277465,-0.2221679965303617,-0.10364176669036768,-0.3001070544258508,0.28488109578916765,0.42140886572487574,0.5021941821293957,0.4115494834519187,0.5322243376734803,0.03740192105359644,0.5250189964425148,-0.12439473640148221,-0.050499107812826016,-0.27731148179603177,0.09444428254288678,0.7337897834056273,0.6515195437464157,0.5210345663439914,0.6627318414706544,-0.16106005350508606,-0.2870820844632086,-0.2657049288412232,-0.49468163328445824,-0.7088194644534083,-0.06653993126946636,0.17812144073338948,0.7269383690452432,-0.32317216840691665,-0.08198110851481934,-0.8079339073701992,-0.519072030320672,0.13817363231212643,0.05423644827831947,-0.16972308990091323,-0.24749191201696702,-0.31830577854903114,0.5179350676460474,0.19389729524144314,-0.11567037845899109,-0.38241827890692615,-0.3281815023989834,-0.19480297489455517,0.03558713732350084,-0.8104432625061284,-0.29774978553760706,0.13570013715896523,-0.03619016119678638,0.4213990863206867,0.43016742126101126,-0.8279849956107366,0.6888016934708594,0.24333556744837437,0.11220740441821829,-0.42033967931647603,-0.12670596823711425,-0.018424541934607644,0.2663223776306045,-0.3028236826980123,0.25309694171005026,0.2839772497422292,-0.13020411715701988
-0.36653029350544264,-0.11945399658257141,0.12039488934196232,0.6246250952673353,0.0747376993432774,-0.023508483012845055,0.1552225577211638,-0.31710691486920084,0.24353757022914535,0.29969759884010766,0.08179210871169,0.6273894074651588,0.5989741985006866,-0.09219950840809246,0.5110599710379667,-0.34420672263174196,-0.17199968132034943,-0.04264671042786089,0.08657280522628939,-0.10813907518478538,0.1101121423996642,0.4968408564306497,0.46281875469813855,-0.443562416968745,-0.33440313367674557,-0.28809804797097843,-0.17789632738132438,-0.3174964595750168,-0.2899949321729838,0.1481459876025309,0.2670267957878805,-0.4164629369665833,-0.20317250201418124,-0.6327606363182592,-0.1250392379029684,-0.23257702543857026,0.06113671142106303,0.14971062813430827,-0.1835899577842055,-0.5790555848026191,0.2604690724694926,-0.12988781016931158,0.1725546501791832,-0.3007588493436912,-0.10537641766285856,-0.0624198072361586,-0.3292046835221515,-0.1467879458400964,-0.25342537314375274,0.09928576998744883,0.2420841808185514,0.2719093413154095,0.21222982009946292,-0.10037639396613214,0.049873113939321534,0.10375700344112312,0.19802481693086055,-0.510549210675524,-0.311119653682257,0.1183942959568969,0.3862680493504488,-0.4017136487113496,0.27965652442244615,-0.08280030238822408,-0.16211810900382856
-0.611834635044551,0.1510461212390484,0.046850164700257026,0.6157183193737792,0.14651347857342575,-0.36483395343088754,0.08191518810650879,-0.27296355865094024,0.3245459466221908,0.0699612199537564,0.08404357869251781,0.35547836145195005,0.11037996840533458,0.049914950703414146,0.35095073151719525,-0.35442559620762926,-0.07049148781232031,-0.15751992220499658,0.3074714105655793,0.20218145724698164,0.47144767131108656,0.28220518792103744,0.13187491979870908,-0.23791831368398028,-0.9383293437556919,-0.39819748119138326,-0.12828713977030015,-0.3523786627804495,-0.32547083335416094,0.060970563800517436,0.113475638508148,-0.012020889612604724,0.08597670840332261,-0.658004154966759,-0.5358900893950385,0.0906495273449168,0.25540686941744123,-0.1503440568490852,-0.07010789307989573,-0.7649378720789961,0.4045571308533868,0.14233978960579988,0.1561275771810739,-0.17500726813897052,-0.00030888783047492915,-0.255973291178296,-0.2664215982955504,-0.35030009334741513,-0.4873780103434437,0.2582017993035408,0.04072318583387694,0.6049870785819736,0.36479029392495,-0.22975614841242076,0.5038134902548325,0.4728671893601381,-0.1237694231816304,-0.6518214253005541,-0.13140976231967397,0.11892182903520111,0.27410315012166503,-0.23460124339205451,0.3866628544501591,0.31349438172210126,-0.40128357524043445
-0.8996863439074168,0.13453622076907928,0.32416933257431046,0.7663355669322739,0.11064514927377533,-0.4151966954892544,0.3702438806343223,0.27151723882785994,0.2240380732959932,0.22131065534160108,0.2423740601330705,-0.04039838692187915,0.5094021347444981,0.07446915471426463,0.5157101578200433,-0.10411095744031229,-0.3077175454047068,-0.05532567150275378,0.21652763813559672,0.3313972978979805,0.6898099239814454,0.7143219688746365,0.22236521566165013,-0.047212224379051496,-0.7469629558647511,-0.2701093626220097,-0.443774564876194,-0.187932821122147,-0.25733132198666087,0.24257566999957444,0.05176054089487315,-0.40334594180776634,-0.02261940899817584,-0.5816246939334762,0.1637794687498617,0.1073861497088302,0.32476444352502093,0.0310506380817702,-0.13741093577565516,-0.4939057037703971,0.32291240274322347,0.09578535767126203,-0.14091700181215772,-0.33898872637866695,0.0015207935606508932,-0.09844850829373651,-0.23939957952105767,-0.420435484347471,-0.32334124729584035,0.22898261435456024,0.0909499703554756,0.23182198572698776,0.23383998670533196,-0.29123886724251347,-0.1715744200766353,0.047173191109439246,0.0156260472129945,-0.5741495080161705,-0.14477160425824145,-0.03341723460412635,-0.1405978871306705,-0.6750321590319383,0.24768571589214536,0.024787790617436634,-0.4778350267238367
-0.829043167210809,-0.374646170499079,-0.08766180678970516,0.24305635770617517,0.31388536562511093,-0.14011737818630404,-0.05879913171397598,-0.4237043114606528,-0.27922114657847136,0.3267453364330295,-0.15412902434248718,0.5967917601066194,0.6748603930065826,-0.06383429627380897,0.24592269081816479,-0.4523528482938832,0.21502857834244868,-0.8253853801579947,0.32424099443855725,0.049633264431064486,0.1301939664388605,0.0718417015562362,0.6145693303073151,-0.7318307098031345,-0.448006496967769,-0.4364683569491113,-0.1984443465521815,-0.22871368161892466,-0.4507974670409326,0.31852835041022376,0.13248920616567916,0.05170528782734242,0.06634046004330553,-1.0213692572451905,1.0210386589170355,-0.2176435356141075,0.10658771760526436,0.09878571222542984,-0.261739937004451,-0.4968363870715433,0.5889651939292107,-0.012049098513302672,0.1765284180087319,-0.016833151159874098,-0.4803537084070306,-0.19285901310331033,-0.32475484183308345,-0.22866385376308573,-0.6140545796404423,-0.08568876093707795,-0.05999540781680726,0.6347309699479915,0.21412311427364783,-0.9503947617286442,0.2195732473809875,0.08396949662400503,0.3771843146702236,-0.7012880863389824,0.26165906069327405,0.21665785667256865,0.13412726926399993,-0.3290004226001718,0.2947222909563476,0.32196438847244724,-0.18602587098547657
-0.5505185586134873,0.3304372064583323,0.11320240777343606,0.8803210734348248,0.43195088468646187,-0.27966970322742174,-0.2241758236258387,-0.09578079225463489,0.37150340872780996,0.25142432714615226,0.11543765620572072,0.5077439492500566,0.13373331913059888,0.2656159130071274,0.5723747799312948,-0.2581175553927126,-0.08458874332174808,-0.3984721508140536,0.017858136291215233,0.37991614245561983,0.7672612093641218,0.4690555824867114,0.21550594200624895,-0.14667834841564253,-0.6101798406526984,-0.20430894171874128,-0.1072019061022412,-0.299378584903095,-0.3112630341252651,0.3324160787402768,0.07689132838533586,-0.3754605106984134,-0.18393191393522693,-0.821782088631384,-0.0044884237673289695,0.3746286822800995,0.03504046261604018,-0.05266865183886747,-0.16724511329228697,-0.46685819469134004,0.5411545044823974,0.03518785996648112,-0.12534781739126166,-0.22965100022422125,-0.635882466290714,-0.11635588862161374,-0.31374840441825563,-0.6494941641447896,-0.2965612416187027,0.30145846930248477,0.0598213868179456,0.4881935568648946,0.03905723607670522,-0.6103861866779667,-0.035389053739448506,0.10848422792029412,-0.06107556023504571,-0.4942587626387349,-0.29036410082870195,0.07318856799865195,0.21140836063974477,-0.24736469013982704,0.21354040437306884,0.07895078626723175,-0.6634811629890696
-0.3850544454770538,-0.26106419854302154,-0.2888174733639457,0.5718456205547207,0.29629563371861517,-0.3281111851262044,0.036304091835825565,-0.3308881808901205,-0.20911849440969388,0.4428399722050931,-0.2146653708513207,0.6399650140285498,0.3345347418561842,0.05220783178888926,0.372200338190419,-0.11438067090476972,0.027545610359014955,-0.2573801922467075,0.15779829216388266,-0.42688582883707826,-0.002891547898911502,-0.11003601346450641,0.43791134476068516,-0.11451153198796507,-0.4603743640857414,-0.40711307804486635,-0.48448438753750667,-0.6149505309458522,-0.4160966297034916,0.3689780673022638,0.3050039769389554,-0.14820468621500088,-0.1818466121502323,-0.614156524278966,-0.22175365439470301,0.4501184542751005,0.4906570427447066,0.15774336862575639,-0.7176648802251939,-0.5614967229602595,0.6097370225642701,0.41705371603279073,-0.24472895799759845,-0.37647239612326144,0.014099572649830958,0.16710124719686312,-0.2605922198378982,-0.5320403256166939,-0.5150020669844653,0.04259896728621168,-0.001853100013294258,0.47934189714269976,0.29908964976345365,-0.8567723600036719,0.24212457320586958,-0.025386171229727132,0.4899715217994904,-0.4791307222947672,0.03982731786544984,0.38849848990418706,-0.27373865933415575,-0.2455667382276172,0.04878953034192224,0.2692302926563479,-0.3881001084899196
