March_3,March,November_2,January_3,August_4,November_4,May_6,September_4,September_3,January_6,February,April_10,October_2,January_4,May_2,May_3,April_5,March_2,May_5,June_2,January_2,October_3,May_4,June,April_8,November,April_7,August_3,June_3,November_7,April_3,November_3,April_4,January,April_6,June_4,February_3,August,October,November_6,May_7,April_9,December_2,May,February_2,February_4,September_2,September_5,July_3,July,September_6,April,August_2,December,January_5,April_12,April_11,September,July_2,October_4,August_5,November_5,March_4,July_4,April_2
0.014884793765673601,-0.3366499318814857,0.47881391990848754,-0.04679576653574972,-0.08742828754989876,-0.13617318110020626,-0.2645192110626708,0.09645101026151054,-0.3497800094743272,-0.2860463605713672,-0.7030102975342976,0.2792976445372389,0.9010293143577517,1.124800907780156,-0.32008845661799307,-0.3967455489072729,0.17388786214123045,0.3624230436864615,-0.531195678864121,-0.1483206698101962,-0.20260412970724614,-0.2664453222855117,0.810538071563521,0.8873707251591874,0.09498882864868805,-1.2148920606282974,0.6636752759637774,-0.18469322420820394,0.5874314853227298,0.4929846789691353,0.2565372005624841,-0.9892217594358413,-0.46891456993397285,0.6571438535916146,-0.25038041909577563,0.17909788532644494,0.18688488812259896,0.11798419282487846,-0.04845521776507219,0.6958038233377453,0.6002677434733693,0.5503755664351104,0.2656334000366424,0.0551895590163677,-0.08150119664838848,-1.1225136791028711,-0.34733161438494964,-0.580590753963812,0.2954345091340259,-0.4294509725190298,0.8513913449417693,-0.03333981260277296,-0.17418031633499062,0.40062724817297724,-0.13883713274824866,0.3559619905503583,-0.42661382126344993,-0.07370542001187796,-0.299483488063302,0.31803930432297667,0.11312179161381958,-0.5293291270105697,0.09728394233526175,1.0514528267016936,0.11716580465395449
-0.009168003628475932,-0.3592824208283296,0.47881391990848754,0.37640724217216676,-0.08742828754989876,-0.13617318110020626,-0.8582583885370755,0.09645101026151054,-0.3497800094743272,-0.6387616224940156,-0.17943184701451603,-0.002371872628384737,0.9010293143577517,1.678453085620845,-0.8525506194175139,-0.34881477757492674,0.12197213142732252,0.38668895351855015,-0.6537212053918817,-0.1483206698101962,-0.42310170097625943,-0.2664453222855117,1.0355420087333116,0.8873707251591874,-0.18590014461423826,-1.2148920606282974,0.611218838599097,-0.18469322420820394,0.5874314853227298,0.4929846789691353,0.13181105319110892,-0.9892217594358413,-0.5457982103069411,0.41767145413975104,-0.1100812295386796,0.17909788532644494,1.3273920982207201,0.11798419282487846,-0.04845521776507219,0.6958038233377453,0.6497958026555019,-0.10948864224507918,0.2656334000366424,0.2579727669216736,0.07363791343670484,-0.43224721132564536,-0.34733161438494964,-0.580590753963812,0.2954345091340259,-0.4294509725190298,0.8513913449417693,-0.12847728828733151,-0.17418031633499062,0.40062724817297724,-0.01917010479923171,-0.05808839637190213,-1.0726890647344995,-0.07370542001187796,-0.299483488063302,0.31803930432297667,0.11312179161381958,-0.5293291270105697,0.2756612410426616,1.0514528267016936,0.18656245758744877
0.11346475481006808,-0.5406761761525034,0.6095180634774122,-0.17730235165948327,-0.05920349804924454,0.10833097456759891,-0.4202007681242327,0.16547102501341435,-0.3008388248756052,-0.25499594517132457,-0.46827614278171376,0.002300744531170393,-0.18895345533436791,1.030283590245763,-0.3904722685205959,-0.040979388912035085,-0.1670011151214551,0.12240484153342714,-0.25204679089412324,-0.24098344763161167,-0.5354600838227987,-0.23395133737825197,0.8895686059889019,0.781764638285511,-0.1377997664315331,-1.081002846393112,-0.17414794245765397,-0.8686228066052555,0.04328721540885411,0.3080788376494619,-0.25298961376433693,-0.5250895822466625,-0.5422654617544173,0.31068405595546267,-0.22465433757745107,-0.21040403532092444,-0.014630604361660204,0.07468558514446216,-0.33004819091265647,0.7974906898358773,0.13484437261183432,0.43487395857192906,-0.17781809076809132,0.4308318594784845,-0.17344521450978145,-0.6330644071115908,-0.09188971176416116,-0.5087778360370648,-0.32156896808340535,-0.6352554034566029,0.6060658607538845,-0.3676151387056364,0.35894195293662073,-0.06354641288024002,-0.03326788176716873,0.21355112515460506,-1.2011679933286346,0.028451268054521375,-0.08693774402367789,0.5837042861108751,0.14105971832009861,-0.32800155015988725,0.10044590068176465,0.7728348049211005,-0.034171950572855075
-0.5174309209185953,-0.498272093420363,0.6510527138773398,0.15493446216867351,-0.051692943431352605,-0.12237981894959045,-0.3718182550698335,0.4957356880731201,0.11405956412441536,-0.61411816285637,-1.0864672889312672,-0.2299043035940846,0.5247513783193444,1.2814594138742972,-0.38093127682220834,-0.5021970183873441,-0.2277592238043517,0.4166858166092264,-0.6435336405441171,-0.05570526993801671,-0.32940879809781876,-0.45711739474260765,0.9986112072412873,0.8130317525934385,0.059597033374495005,-0.6358895231252875,0.7215119267404686,-0.6388029132703084,0.6198324876952941,0.16946924175927405,0.09017344243466888,-0.3578349788628373,-0.6613871980147376,-0.11652301089480592,0.1785259771450718,0.3991258723926772,0.9125012958419455,-0.29002134269342095,-0.15784012723197643,1.2782561383573177,0.4533615023113736,0.1534891466860065,0.019983209653763843,0.21352324083337504,0.2620105303673116,-0.8132700144792644,-0.15364871233793845,-0.40374434127854464,-0.7149643212992147,-0.17189410149132622,1.034078713732759,0.07052049466721537,-0.34431727989408595,0.55167328365402,-0.08905611577957853,0.03426177255975432,-1.5616216682307518,0.13103877141365708,0.2207575171498475,0.4832132581871235,-0.15096296246353683,-0.2881751884368448,0.8675626154357727,0.5762442854338155,-0.014894999960168825
-0.35611698810343,-0.480833785787568,1.1957374596228951,0.33461210735826646,0.4042680353824088,-0.6114269238157204,0.0976313884262319,0.1597186315220808,-0.6197695201111368,-0.7372370942553059,-0.2797729499251244,0.0105532277592927,0.12919643475105852,1.388485100806461,-0.6339072813693534,-0.409079392259547,0.12272768562984998,0.4108109790796075,-0.5079717626939039,-0.2606061200170197,-0.02036041314564918,-0.5162381703006248,0.8904606083279022,0.6859446261036348,-0.065875726364482,-1.0051378896359098,-0.0016726122407850971,-0.6075224263547093,0.3928206746713616,0.574533263488735,-0.11571289619209596,-0.27332172573979124,-0.25411408095828353,0.08407471246277945,-0.3423539593762121,0.06251084935443102,0.37709012914024437,0.2539372241054726,-0.32512359456370904,0.2877783676677274,0.1970284277708687,-0.09896619494887862,-0.46295184393833155,0.0829860916723961,-0.08438152480963129,-0.3839659457413327,-0.35189803526709695,-0.7899545027880451,-0.534247161902361,-0.39482086167651814,0.4265571686687586,-0.15251961330337888,-0.4202127015146961,0.22153163550735155,-0.409659959188691,0.5804816735056972,-1.1137903722085576,0.05205718682209408,-0.32344842501361337,0.6886920766620008,-0.09669428576352326,-0.2487373406350017,0.4160683125468191,0.5181713162011966,-0.06456693756983553
-0.35779367606444956,0.07221312031370244,0.1291587218532071,0.13751472565445352,0.4484065105424033,-0.27752336573632763,-0.013926718743266044,0.37556200649785193,-0.07575912329871518,-0.4656009010253367,-0.7760958965141979,0.011154365738070653,0.832679837151517,1.1401176807585014,-0.3676217172045567,-0.05908048323249356,0.021958363483731418,-0.17219495895145437,-1.0205065648604805,-0.31695318718531823,-0.1772675198926707,-0.1572022625273719,0.9849045782939947,0.7488033232814915,-0.2011764896298,-1.0683045191190388,0.25879868395826877,-0.0542058887742356,-0.10865934894955002,0.48287193243989085,-0.04118075261955943,-0.3133153032489594,-0.3213037635211705,0.27445387035438407,-0.46080452062893135,-0.33719572578624923,-0.0517110228318935,0.6192861480382844,-0.21304610980612632,1.1483636265635084,0.30711250862835376,0.4796333776701927,0.062221458248973356,0.2727113448867812,-0.19463209191667957,-0.5279632058690079,-0.07122574156832734,-0.21165316267261802,-0.2527806936043146,-0.743583377039104,0.6173387301504126,-0.013483285695178218,0.11205944408137522,0.41527876090321725,0.0584145590593369,-0.3104242167388835,-0.985383400506926,-0.012334612410275045,-0.31601910533066996,0.6494422907262781,-0.0076283485376374485,-0.429068527753276,0.13791836214222383,0.34462457953750525,0.28041741770959694
-0.021922809780946236,-0.2364325823501209,0.30940767609226244,-0.40389693833275975,0.021570572363978316,-0.6282754081367276,0.17164149705890777,0.4314736849893086,-0.3959332828428616,-0.3811307549423704,-0.6622996560746289,0.17718120687217687,-0.5442566487750221,0.9441273341324596,-0.16276056183902288,-0.46136987251920714,0.009772700633087422,-0.022060770738620072,-0.7064985967237177,0.23347423378881654,-0.4026152950296958,-0.32977045222516205,0.9504906252684366,0.4145766798945128,0.19533914611063474,-0.7313369043658591,0.560893722988097,-0.5083155568512923,0.13348323659707576,0.7023089759470289,0.16438478569084827,-0.49814639910722014,-0.4754245123585926,0.8568410721070008,-0.33177257859430076,-0.4121760570391482,1.2261434110130067,0.31152197971049045,0.059130084341898266,0.4838685715637736,0.20557398277522407,0.1303558247325401,0.19180880105365203,0.49830108853211896,0.5414499610949053,-1.1834700578282968,-0.3539399297902567,-0.5032875695215107,0.11444998707549434,-0.769570864768406,0.8565990268509371,0.30846675332212775,-0.16748701542344785,0.42673260552458336,-0.5031220000568652,0.02692525560391608,-0.8118631406394748,0.24444926161490252,-0.024309168648365614,0.8116525784261973,0.0026250114017889997,-0.34942806626825196,0.1355708716778879,0.5746443460530208,0.3386924016597937
-0.21395010812878085,-0.5977906535824106,0.140509642500244,0.1449405112803325,0.4436148028063739,-0.11497263245765202,-0.41050706381237456,0.01998192748797456,-0.43242851786518777,-0.4540695589541864,-1.2565796080258727,0.03077683434410511,0.8269204210427813,1.2576826332385824,-0.6935024388302026,-0.20374446436552526,0.15021223444817247,-0.07939271910809959,-0.32634818899968776,-0.14099861344547154,-0.3576519927235519,-0.39743261381660583,1.0203223897212397,0.4163598857976521,0.07507971679653662,-1.3873611670820492,-0.06742066931368997,-0.21074936470497985,-0.413165688466722,0.8045226797611496,-0.2816471633217358,-0.3167449724451185,-0.4219331007964077,0.03265618754895912,-0.5249775931991039,0.09309909813261441,0.5940410488808843,-0.022422676027991507,-0.009473635212512072,0.6307781840564496,0.3707267441389891,0.05773619428874754,-0.3967632799357337,0.04384281996985908,-0.31546454841575794,-1.3110695078423962,0.23635852361252357,-0.2422856411977367,0.028251988121097665,-0.45970688065083765,0.6077910632745015,-0.3537084082708436,0.3455003622945992,0.08851801043539509,-0.15596507614507632,-0.3689040619181026,-0.746819462273232,0.14288110251165273,-0.14758829949875032,0.6253484216523846,0.08148635493839984,0.034377108442957355,-0.15243997946901114,0.6106265304771693,0.5676759477993893
-0.8464346754443383,-0.28752673315526345,0.13825388900871738,-0.1263356610069459,-0.07613778467273888,0.2935010132274914,0.26708682555232766,0.003851804642744587,-0.8362767354105226,-0.3130841383916974,-0.6788158579952741,0.06814751628458651,0.5478364193543793,1.362354871580255,-0.601857871816257,-0.6363320065902056,0.40689819853073544,0.4490086194320516,-0.03950075168961988,0.3207086298305184,-0.09096685954134373,-0.1266771637629855,0.7847393803751114,0.4338144532189575,-0.4005361469005381,-0.7266420002433668,0.6542918639448084,-0.14342740731819686,0.5023701464436456,0.04619851915376612,0.07897554082730897,-0.2848971550374675,-0.6500567927298306,0.5544867379039158,-0.7191801255086355,-0.10940532814795167,0.4104231357361008,0.2747917470630255,0.2747155688401592,0.6198401425503843,0.3459090324238149,0.5528450947249187,-0.31037935450732984,0.6587801455855684,-0.053290441278507725,-0.7116309282206511,-0.4092236954820735,-0.5147364694564175,0.3136151819046101,-0.6454408926057712,0.39229557422378036,-0.12937815652903487,-0.06051647233439937,-0.25962053426208676,-0.0671933094961025,0.0009305777837404217,-0.5255751389957747,0.27806865750444354,-0.5785230892771395,0.5966936091756758,-0.3070177099835931,-0.2254383181414029,0.22654705394058283,0.6508836682378224,0.531193778045959
-0.5324041881073152,-0.25256814267300165,-0.311381371487738,-0.42257054567141494,-0.006048122620093639,-0.018843331084361776,-0.3457184934092986,0.2758199033823025,-0.29300868747092096,-0.6323832467258693,-1.105272749142174,0.49448743151687785,0.5530116177267907,1.9263948688150274,-0.6427691289309581,-0.5131892936073432,-0.2674269550364286,-0.19196160576945048,-0.5494078247620542,-0.0661251443449287,-0.389429338343139,-0.23515094580972096,0.9625893440250347,0.6217626241914285,0.20334553850850004,-1.1744473430909503,-0.12376143918836147,-0.23800236837940633,0.2870125208140935,0.19725745490256857,0.07103837215183476,-0.4182280806048624,-0.1269609261566908,0.8362978867428014,-0.2662805641208411,-0.09177256058686944,1.022134149357483,-0.01611587088909452,0.3507836403487199,0.32593256938074494,-0.07000297173102049,0.4181838329153209,-0.22133127495541158,0.10672630405766123,0.20924152582958094,-0.5902538342882356,0.11629566615913055,-0.15583534427029755,-0.31770833222680284,-0.6604172096915341,1.0056383910928843,0.011125861716388286,-0.28463362358886984,-0.05871962169829343,-0.1464841769996561,-0.4732229288041339,-0.6715371289672462,0.0755192574815151,-0.09252164375634737,0.7477944783138128,-0.19489591944194362,-0.30568307236409853,-0.3119355568953182,0.9641416418471636,0.4238708214755338
